SID,CID,SCORE,TID,NAME,SEX,AGE,BIRTHDAY,DNAME,CLASS
200900130008,300011,52.0,100011,高德亮,女,19.0,34281.0,哲学与社会发展学院,2004
200900130008,300005,61.0,100005,高德亮,女,19.0,34281.0,哲学与社会发展学院,2004
200900130009,300027,91.0,100027,郭江林,男,20.0,33695.0,管理学院,2010
200900130009,300013,76.0,100013,郭江林,男,20.0,33695.0,管理学院,2010
200900130009,300003,82.0,100003,郭江林,男,20.0,33695.0,管理学院,2010
200900130009,300029,79.0,100029,郭江林,男,20.0,33695.0,管理学院,2010
200900130010,300019,62.0,100019,韩鹏飞,女,19.0,34214.0,医学院,2005
200900130010,300011,77.0,100011,韩鹏飞,女,19.0,34214.0,医学院,2005
200900130010,300022,79.0,100022,韩鹏飞,女,19.0,34214.0,医学院,2005
200900130010,300029,82.0,100029,韩鹏飞,女,19.0,34214.0,医学院,2005
200900130010,300031,71.0,100000,韩鹏飞,女,19.0,34214.0,医学院,2005
200900130011,300040,73.0,100009,李光会,女,22.0,32896.0,历史文化学院,2007
200900130011,300007,55.0,100007,李光会,女,22.0,32896.0,历史文化学院,2007
200900130011,300032,84.0,100001,李光会,女,22.0,32896.0,历史文化学院,2007
200900130011,300017,55.0,100017,李光会,女,22.0,32896.0,历史文化学院,2007
200900130011,300035,51.0,100004,李光会,女,22.0,32896.0,历史文化学院,2007
200900130012,300028,60.0,100006,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300013,60.0,100004,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300085,60.0,100005,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300007,91.0,100007,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300037,64.0,100006,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300032,60.0,100001,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300004,76.0,100004,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300016,75.0,100016,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300011,60.0,100001,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300122,60.0,100002,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300135,60.0,100003,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300123,135.0,100135,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300139,134.0,100134,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300021,133.0,100133,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300091,132.0,100132,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300010,131.0,100131,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300042,130.0,100130,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300065,129.0,100129,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300126,128.0,100128,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300038,127.0,100127,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300115,126.0,100126,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300096,125.0,100125,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300055,124.0,100124,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300006,123.0,100123,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300008,122.0,100122,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300098,121.0,100121,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300049,120.0,100120,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300134,119.0,100119,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300063,118.0,100118,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300133,117.0,100117,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300069,116.0,100116,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300048,115.0,100115,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300054,114.0,100114,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300009,113.0,100113,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300024,112.0,100112,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300058,111.0,100111,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300018,110.0,100110,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300132,109.0,100109,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300116,108.0,100108,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300064,107.0,100107,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300117,106.0,100106,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300023,105.0,100105,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300084,104.0,100104,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300052,103.0,100103,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300120,102.0,100102,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300043,101.0,100101,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300020,100.0,100100,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300033,99.0,100099,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300039,98.0,100098,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300003,97.0,100097,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300088,96.0,100096,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300101,95.0,100095,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300107,94.0,100094,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300056,93.0,100093,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300128,92.0,100092,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300106,91.0,100091,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300087,90.0,100090,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300047,89.0,100089,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300050,88.0,100088,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300035,87.0,100087,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300125,86.0,100086,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300061,85.0,100085,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300076,84.0,100084,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300067,83.0,100083,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300072,82.0,100082,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300131,81.0,100081,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300068,80.0,100080,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300137,79.0,100079,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300094,78.0,100078,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300057,77.0,100077,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300044,76.0,100076,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300118,75.0,100075,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300066,74.0,100074,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300036,73.0,100073,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300077,72.0,100072,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300121,71.0,100071,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300097,70.0,100070,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300080,69.0,100069,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300053,68.0,100068,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300114,67.0,100067,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300110,66.0,100066,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300034,65.0,100065,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300138,64.0,100064,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300079,63.0,100063,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300140,62.0,100062,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300104,61.0,100061,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300046,60.0,100060,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300109,60.0,100059,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300130,60.0,100058,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300099,60.0,100057,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300136,60.0,100056,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300014,60.0,100055,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300017,60.0,100054,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300073,60.0,100053,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300075,60.0,100052,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300030,60.0,100051,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300113,60.0,100050,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300086,60.0,100049,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300078,60.0,100048,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300062,60.0,100047,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300074,60.0,100046,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300127,60.0,100045,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300015,60.0,100044,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300103,60.0,100043,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300092,60.0,100042,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300105,60.0,100041,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300108,60.0,100040,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300051,60.0,100039,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300012,60.0,100038,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300027,60.0,100037,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300090,60.0,100036,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300045,60.0,100035,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300100,60.0,100034,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300031,60.0,100033,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300070,60.0,100032,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300059,60.0,100031,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300001,60.0,100030,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300060,60.0,100029,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300026,60.0,100028,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300040,60.0,100027,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300041,60.0,100026,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300111,60.0,100025,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300093,60.0,100024,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300082,60.0,100023,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300102,60.0,100022,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300019,60.0,100021,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300129,60.0,100020,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300002,60.0,100019,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300005,60.0,100018,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300112,60.0,100017,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300025,60.0,100016,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300124,60.0,100015,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300029,60.0,100014,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300095,60.0,100013,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300089,60.0,100012,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300022,60.0,100011,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300071,60.0,100010,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300119,60.0,100009,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300081,60.0,100008,郎李庆,,23.0,32736.0,医学院,2004
200900130012,300083,60.0,100007,郎李庆,,23.0,32736.0,医学院,2004
200900130013,300025,60.0,100025,侯德万,,19.0,34063.0,软件学院,2008
200900130013,300015,89.0,100015,侯德万,,19.0,34063.0,软件学院,2008
200900130013,300038,88.0,100007,侯德万,,19.0,34063.0,软件学院,2008
200900130013,300005,50.0,100005,侯德万,,19.0,34063.0,软件学院,2008
200900130013,300035,92.0,100004,侯德万,,19.0,34063.0,软件学院,2008
200900130014,300003,93.0,100003,刘斌,女,22.0,32959.0,法学院,2009
200900130014,300028,90.0,100028,刘斌,女,22.0,32959.0,法学院,2009
200900130014,300017,56.0,100017,刘斌,女,22.0,32959.0,法学院,2009
200900130014,300004,62.0,100004,刘斌,女,22.0,32959.0,法学院,2009
200900130014,300001,91.0,100001,刘斌,女,22.0,32959.0,法学院,2009
200900130015,300022,90.0,100022,崔财明,女,20.0,33871.0,哲学与社会发展学院,2005
200900130015,300011,82.0,100011,崔财明,女,20.0,33871.0,哲学与社会发展学院,2005
200900130015,300016,80.0,100016,崔财明,女,20.0,33871.0,哲学与社会发展学院,2005
200900130015,300006,65.0,100006,崔财明,女,20.0,33871.0,哲学与社会发展学院,2005
200900130015,300020,92.0,100020,崔财明,女,20.0,33871.0,哲学与社会发展学院,2005
200900130016,300034,87.0,100003,李小东,,18.0,34548.0,公共卫生学院,2004
200900130016,300018,67.0,100018,李小东,,18.0,34548.0,公共卫生学院,2004
200900130016,300015,91.0,100015,李小东,,18.0,34548.0,公共卫生学院,2004
200900130016,300032,66.0,100001,李小东,,18.0,34548.0,公共卫生学院,2004
200900130016,300007,75.0,100007,李小东,,18.0,34548.0,公共卫生学院,2004
200900130017,300033,86.0,100002,杜根虎,男,22.0,33222.0,物理学院,2011
200900130017,300013,71.0,100013,杜根虎,男,22.0,33222.0,物理学院,2011
200900130017,300029,78.0,100029,杜根虎,男,22.0,33222.0,物理学院,2011
200900130017,300039,54.0,100008,杜根虎,男,22.0,33222.0,物理学院,2011
200900130017,300004,88.0,100004,杜根虎,男,22.0,33222.0,物理学院,2011
200900130018,300036,57.0,100005,蔡建堂,,24.0,32374.0,历史文化学院,2005
200900130018,300039,51.0,100008,蔡建堂,,24.0,32374.0,历史文化学院,2005
200900130018,300013,85.0,100013,蔡建堂,,24.0,32374.0,历史文化学院,2005
200900130018,300029,95.0,100029,蔡建堂,,24.0,32374.0,历史文化学院,2005
200900130018,300030,55.0,100030,蔡建堂,,24.0,32374.0,历史文化学院,2005
200900130019,300008,90.0,100008,韩胜利,男,20.0,33821.0,数学学院,2004
200900130019,300029,63.0,100029,韩胜利,男,20.0,33821.0,数学学院,2004
200900130019,300022,98.0,100022,韩胜利,男,20.0,33821.0,数学学院,2004
200900130019,300037,91.0,100006,韩胜利,男,20.0,33821.0,数学学院,2004
200900130019,300027,56.0,100027,韩胜利,男,20.0,33821.0,数学学院,2004
200900130020,300012,92.0,100012,李锁清,女,23.0,32521.0,历史文化学院,2005
200900130020,300021,77.0,100021,李锁清,女,23.0,32521.0,历史文化学院,2005
200900130020,300034,62.0,100003,李锁清,女,23.0,32521.0,历史文化学院,2005
200900130020,300026,71.0,100026,李锁清,女,23.0,32521.0,历史文化学院,2005
200900130021,300027,95.0,100027,冯光清,女,19.0,33971.0,数学学院,2011
200900130021,300002,80.0,100002,冯光清,女,19.0,33971.0,数学学院,2011
200900130021,300033,50.0,100002,冯光清,女,19.0,33971.0,数学学院,2011
200900130021,300037,52.0,100006,冯光清,女,19.0,33971.0,数学学院,2011
200900130021,300036,96.0,100005,冯光清,女,19.0,33971.0,数学学院,2011
200900130022,300017,90.0,100017,冯赵红,男,20.0,33619.0,公共卫生学院,2008
200900130022,300031,79.0,100000,冯赵红,男,20.0,33619.0,公共卫生学院,2008
200900130022,300023,99.0,100023,冯赵红,男,20.0,33619.0,公共卫生学院,2008
200900130022,300034,56.0,100003,冯赵红,男,20.0,33619.0,公共卫生学院,2008
200900130022,300027,82.0,100027,冯赵红,男,20.0,33619.0,公共卫生学院,2008
200900130023,300008,80.0,100008,李东升,,21.0,33332.0,数学学院,2009
200900130023,300019,99.0,100019,李东升,,21.0,33332.0,数学学院,2009
200900130023,300011,94.0,100011,李东升,,21.0,33332.0,数学学院,2009
200900130023,300015,83.0,100015,李东升,,21.0,33332.0,数学学院,2009
200900130023,300038,96.0,100007,李东升,,21.0,33332.0,数学学院,2009
200900130024,300008,85.0,100008,黄海涛,男,18.0,34609.0,马克思主义学院,2004
200900130024,300038,99.0,100007,黄海涛,男,18.0,34609.0,马克思主义学院,2004
200900130024,300035,95.0,100004,黄海涛,男,18.0,34609.0,马克思主义学院,2004
200900130024,300014,80.0,100014,黄海涛,男,18.0,34609.0,马克思主义学院,2004
200900130024,300003,54.0,100003,黄海涛,男,18.0,34609.0,马克思主义学院,2004
200900130025,300003,65.0,100003,李连梅,男,18.0,34397.0,哲学与社会发展学院,2010
200900130025,300037,68.0,100006,李连梅,男,18.0,34397.0,哲学与社会发展学院,2010
200900130025,300035,61.0,100004,李连梅,男,18.0,34397.0,哲学与社会发展学院,2010
200900130025,300014,72.0,100014,李连梅,男,18.0,34397.0,哲学与社会发展学院,2010
200900130026,300035,61.0,100004,李波,,21.0,33362.0,物理学院,2004
200900130026,300026,51.0,100026,李波,,21.0,33362.0,物理学院,2004
200900130026,300009,88.0,100009,李波,,21.0,33362.0,物理学院,2004
200900130026,300022,79.0,100022,李波,,21.0,33362.0,物理学院,2004
200900130027,300037,61.0,100006,梁凤歧,女,21.0,33255.0,管理学院,2008
200900130027,300003,87.0,100003,梁凤歧,女,21.0,33255.0,管理学院,2008
200900130027,300017,59.0,100017,梁凤歧,女,21.0,33255.0,管理学院,2008
200900130027,300013,94.0,100013,梁凤歧,女,21.0,33255.0,管理学院,2008
200900130027,300014,50.0,100014,梁凤歧,女,21.0,33255.0,管理学院,2008
200900130028,300014,84.0,100014,常宏,女,24.0,32359.0,环境科学与工程学院,2011
200900130028,300017,61.0,100017,常宏,女,24.0,32359.0,环境科学与工程学院,2011
200900130028,300018,73.0,100018,常宏,女,24.0,32359.0,环境科学与工程学院,2011
200900130028,300036,68.0,100005,常宏,女,24.0,32359.0,环境科学与工程学院,2011
200900130028,300005,61.0,100005,常宏,女,24.0,32359.0,环境科学与工程学院,2011
200900130029,300032,92.0,100001,杜玉林,女,20.0,33781.0,外国语学院,2005
200900130029,300006,71.0,100006,杜玉林,女,20.0,33781.0,外国语学院,2005
200900130029,300039,86.0,100008,杜玉林,女,20.0,33781.0,外国语学院,2005
200900130029,300019,63.0,100019,杜玉林,女,20.0,33781.0,外国语学院,2005
200900130030,300005,93.0,100005,陈国军,女,20.0,33672.0,信息科学与工程学院,2008
200900130030,300010,51.0,100010,陈国军,女,20.0,33672.0,信息科学与工程学院,2008
200900130030,300034,93.0,100003,陈国军,女,20.0,33672.0,信息科学与工程学院,2008
200900130030,300031,91.0,100000,陈国军,女,20.0,33672.0,信息科学与工程学院,2008
200900130030,300037,53.0,100006,陈国军,女,20.0,33672.0,信息科学与工程学院,2008
200900130031,300003,65.0,100003,李巧梅,女,24.0,32381.0,经济学院,2005
200900130031,300037,87.0,100006,李巧梅,女,24.0,32381.0,经济学院,2005
200900130031,300028,73.0,100028,李巧梅,女,24.0,32381.0,经济学院,2005
200900130031,300013,98.0,100013,李巧梅,女,24.0,32381.0,经济学院,2005
200900130031,300012,97.0,100012,李巧梅,女,24.0,32381.0,经济学院,2005
200900130032,300017,53.0,100017,柏冬明,女,23.0,32572.0,生命科学学院,2004
200900130032,300026,86.0,100026,柏冬明,女,23.0,32572.0,生命科学学院,2004
200900130032,300003,84.0,100003,柏冬明,女,23.0,32572.0,生命科学学院,2004
200900130032,300016,99.0,100016,柏冬明,女,23.0,32572.0,生命科学学院,2004
200900130033,300001,76.0,100001,何忠平,女,21.0,33293.0,信息科学与工程学院,2011
200900130033,300037,77.0,100006,何忠平,女,21.0,33293.0,信息科学与工程学院,2011
200900130033,300028,97.0,100028,何忠平,女,21.0,33293.0,信息科学与工程学院,2011
200900130033,300040,98.0,100009,何忠平,女,21.0,33293.0,信息科学与工程学院,2011
200900130033,300029,73.0,100029,何忠平,女,21.0,33293.0,信息科学与工程学院,2011
200900130034,300008,53.0,100008,郭斌,男,23.0,32686.0,环境科学与工程学院,2009
200900130034,300006,93.0,100006,郭斌,男,23.0,32686.0,环境科学与工程学院,2009
200900130034,300032,86.0,100001,郭斌,男,23.0,32686.0,环境科学与工程学院,2009
200900130034,300012,71.0,100012,郭斌,男,23.0,32686.0,环境科学与工程学院,2009
200900130034,300002,60.0,100002,郭斌,男,23.0,32686.0,环境科学与工程学院,2009
200900130035,300016,55.0,100016,陈爱红,女,22.0,32882.0,公共卫生学院,2007
200900130035,300040,61.0,100009,陈爱红,女,22.0,32882.0,公共卫生学院,2007
200900130035,300035,53.0,100004,陈爱红,女,22.0,32882.0,公共卫生学院,2007
200900130035,300039,85.0,100008,陈爱红,女,22.0,32882.0,公共卫生学院,2007
200900130035,300023,54.0,100023,陈爱红,女,22.0,32882.0,公共卫生学院,2007
200900130036,300034,54.0,100003,郭长喜,男,20.0,33653.0,环境科学与工程学院,2005
200900130036,300022,81.0,100022,郭长喜,男,20.0,33653.0,环境科学与工程学院,2005
200900130036,300024,53.0,100024,郭长喜,男,20.0,33653.0,环境科学与工程学院,2005
200900130036,300036,72.0,100005,郭长喜,男,20.0,33653.0,环境科学与工程学院,2005
200900130036,300019,89.0,100019,郭长喜,男,20.0,33653.0,环境科学与工程学院,2005
200900130037,300019,78.0,100019,李海亮,女,24.0,32314.0,计算机科学与技术学院,2011
200900130037,300034,78.0,100003,李海亮,女,24.0,32314.0,计算机科学与技术学院,2011
200900130037,300010,70.0,100010,李海亮,女,24.0,32314.0,计算机科学与技术学院,2011
200900130037,300014,50.0,100014,李海亮,女,24.0,32314.0,计算机科学与技术学院,2011
200900130037,300007,73.0,100007,李海亮,女,24.0,32314.0,计算机科学与技术学院,2011
200900130038,300013,68.0,100013,陈栋良,女,24.0,32432.0,生命科学学院,2010
200900130038,300037,87.0,100006,陈栋良,女,24.0,32432.0,生命科学学院,2010
200900130038,300008,65.0,100008,陈栋良,女,24.0,32432.0,生命科学学院,2010
200900130038,300012,83.0,100012,陈栋良,女,24.0,32432.0,生命科学学院,2010
200900130038,300021,67.0,100021,陈栋良,女,24.0,32432.0,生命科学学院,2010
200900130039,300027,91.0,100027,贾应甫,女,18.0,34573.0,医学院,2007
200900130039,300005,92.0,100005,贾应甫,女,18.0,34573.0,医学院,2007
200900130039,300020,55.0,100020,贾应甫,女,18.0,34573.0,医学院,2007
200900130039,300035,89.0,100004,贾应甫,女,18.0,34573.0,医学院,2007
200900130039,300006,76.0,100006,贾应甫,女,18.0,34573.0,医学院,2007
200900130040,300027,100.0,100027,靳鹏翔,女,22.0,33169.0,生命科学学院,2009
200900130040,300011,95.0,100011,靳鹏翔,女,22.0,33169.0,生命科学学院,2009
200900130040,300018,63.0,100018,靳鹏翔,女,22.0,33169.0,生命科学学院,2009
200900130040,300032,69.0,100001,靳鹏翔,女,22.0,33169.0,生命科学学院,2009
200900130040,300010,88.0,100010,靳鹏翔,女,22.0,33169.0,生命科学学院,2009
200900130041,300008,94.0,100008,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300119,9.0,100009,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300081,8.0,100008,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300083,7.0,100007,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300028,6.0,100006,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300085,5.0,100005,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300013,4.0,100004,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300135,3.0,100003,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300122,2.0,100002,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300011,1.0,100001,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300139,134.0,100134,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300012,81.0,100012,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300050,90.0,100090,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300047,91.0,100091,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300087,92.0,100092,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
200900130041,300106,93.0,100093,董育红,女,19.0,34084.0,计算机科学与技术学院,2004
